threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,tp_trail_mult,sl_trail_mult,max_holding_bars,active_trail_sl,time_decay_sl
0.08,7,-0.567302,-0.059044,0.0,2.408797,0.435047,0.089548,33.199744,-38.40258,-77.560872,1.346086,0.38835,3.346278,0.08,309,75.4,5.9999,8.14,1.384367,1.4,4.0,0.03,5.25,12,True,False
0.08,8,-0.568382,-0.058459,0.0,2.357216,0.427056,0.088045,33.085142,-38.891181,-78.178566,1.339299,0.390244,3.615854,0.08,328,76.52,5.5768,10.03,1.407958,1.4,5.0,0.05,4.75,18,True,False
0.08,9,-0.548972,-0.055979,0.0,2.296633,0.411198,0.085856,33.010796,-39.865044,-78.70838,1.334341,0.391061,4.067039,0.08,358,73.74,4.7794,10.32,1.412517,1.3,4.75,0.01,5.5,20,True,False
0.08,10,-0.544216,-0.054941,0.0,2.252732,0.403012,0.084369,32.938737,-40.298243,-79.074885,1.331511,0.394667,4.336,0.08,375,74.93,4.2572,8.0,1.318727,1.0,5.0,0.02,5.25,16,True,False
0.08,11,-0.533705,-0.053767,0.0,2.239187,0.393385,0.083123,32.965758,-40.687838,-79.40051,1.321753,0.387755,4.625,0.08,392,71.68,4.6138,9.8,1.285977,1.4,4.5,0.01,4.75,17,True,False
0.09,1,-0.852395,-0.08999,0.0,3.416747,0.649739,0.12247,32.70799,-33.491683,-79.329,1.431377,0.507937,1.0,0.09,63,68.25,5.5723,6.92,1.653206,1.3,5.0,0.08,5.0,9,True,False
0.08,12,-0.524371,-0.052619,0.0,2.209031,0.385497,0.081855,32.947474,-41.17824,-79.754237,1.325561,0.390663,4.896806,0.08,407,73.46,4.0816,6.96,1.237449,1.0,4.5,0.03,5.25,12,True,False
0.09,2,-0.750181,-0.080038,0.0,3.204701,0.596646,0.112783,33.367314,-32.788019,-76.519462,1.460481,0.44186,1.267442,0.09,86,74.42,6.5531,10.35,1.498266,1.3,5.0,0.34,5.25,16,True,False
0.08,13,-0.528789,-0.05223,0.0,2.179432,0.381506,0.081416,33.00136,-41.266437,-80.013319,1.32338,0.391827,5.072115,0.08,416,75.0,4.0002,8.26,1.174482,1.0,4.5,0.15000000000000002,5.75,17,True,False
0.08,14,-0.525446,-0.051731,0.0,2.182934,0.378555,0.08094,33.002987,-41.452777,-80.234241,1.332639,0.397163,5.219858,0.08,423,71.16,4.0985,8.41,1.228354,1.3,5.0,0.01,5.75,13,True,False
0.09,3,-0.689205,-0.07359,0.0,2.921287,0.544032,0.109536,33.263759,-35.467254,-76.946073,1.485983,0.450704,1.950704,0.09,142,73.24,6.1858,9.55,1.416977,1.3,4.5,0.15000000000000002,5.0,15,True,False
0.09,4,-0.661108,-0.069058,0.0,2.802713,0.506151,0.102103,32.722995,-37.938184,-77.67941,1.488131,0.446927,2.374302,0.09,179,76.54,6.1949,11.18,1.346617,1.5,4.5,0.09999999999999999,5.0,18,True,False
0.08,15,-0.517947,-0.050737,0.0,2.156129,0.373162,0.08014,33.083987,-41.687856,-80.601188,1.338622,0.408257,5.511468,0.08,436,73.39,3.5853,8.84,1.091727,1.1,4.75,0.16,4.75,17,True,False
0.09,5,-0.627331,-0.065061,0.0,2.652443,0.480372,0.097983,32.861857,-38.386076,-77.269683,1.428295,0.439815,2.824074,0.09,216,74.07,5.5486,8.22,1.310953,1.3,4.75,0.06999999999999999,4.0,12,True,False
