threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,max_holding_bars
0.05,40,-0.402648,-0.039424,0.0,1.727133,0.309495,0.06869,35.044633,-37.019873,-78.382641,1.28461,0.363517,8.371391,0.05,762,76.77,3.3137,17.28,1.004344,1.35,7.25,45
0.05,45,-0.400345,-0.038992,0.0,1.728147,0.307255,0.068314,34.995601,-37.415944,-78.650901,1.312316,0.368557,8.993557,0.05,776,77.19,3.3115,16.94,1.003471,1.35,7.5,43
0.05,50,-0.399204,-0.038707,0.0,1.733737,0.305756,0.068046,34.933793,-37.724353,-78.849385,1.326297,0.372774,9.5,0.05,786,77.99,3.5567,18.34,1.020398,1.35,8.0,50
0.06,1,-0.674539,-0.077812,0.0,2.974583,0.584687,0.112491,34.540897,-28.416028,-73.827328,1.248847,0.380597,1.0,0.06,134,79.85,8.4627,17.35,2.07058,1.4,5.25,50
0.06,2,-0.58613,-0.068345,0.0,2.703495,0.516995,0.100601,34.772604,-29.460566,-73.670694,1.28252,0.375661,1.291005,0.06,189,79.89,6.1993,17.57,1.666998,1.3,7.25,46
0.06,3,-0.56128,-0.06417,0.0,2.493978,0.483805,0.095052,34.383737,-31.959227,-74.80757,1.290879,0.365759,1.743191,0.06,257,78.6,5.7863,14.8,1.567076,1.35,5.75,38
0.06,4,-0.556577,-0.060744,0.0,2.42002,0.460328,0.090603,33.97297,-33.798027,-75.047257,1.312955,0.375817,2.104575,0.06,306,81.7,6.2897,15.34,1.563501,1.4,6.0,43
0.06,5,-0.52035,-0.056377,0.0,2.317311,0.431163,0.086301,34.299755,-33.798113,-74.726592,1.283019,0.371901,2.559229,0.06,363,79.06,5.4062,14.22,1.479537,1.25,7.25,40
0.06,6,-0.506756,-0.054534,0.0,2.254187,0.416842,0.083827,34.242141,-34.338857,-75.062603,1.273457,0.371134,2.780928,0.06,388,80.15,5.5051,15.3,1.460875,1.35,8.0,42
0.06,7,-0.498698,-0.05216,0.0,2.175453,0.399138,0.081267,34.446364,-34.363569,-75.187445,1.26415,0.366822,3.175234,0.06,428,80.37,5.7117,17.54,1.375432,1.4500000000000002,7.25,49
0.06,8,-0.49906,-0.051769,0.0,2.158196,0.397725,0.080536,34.371325,-34.773668,-75.531892,1.259247,0.366292,3.359551,0.06,445,81.12,5.378,15.01,1.361883,1.35,5.5,46
0.06,9,-0.489353,-0.050099,0.0,2.105874,0.388029,0.079126,34.358425,-35.456792,-75.909953,1.258215,0.369979,3.693446,0.06,473,81.4,5.2057,16.41,1.362966,1.3,7.5,50
0.06,10,-0.484501,-0.049718,0.0,2.091134,0.38512,0.078767,34.380337,-35.586068,-75.933693,1.252979,0.367983,3.798337,0.06,481,81.5,4.9471,16.29,1.351291,1.3,8.0,48
0.06,12,-0.473201,-0.04826,0.0,2.068747,0.372046,0.076965,34.28509,-36.344537,-76.576843,1.258298,0.366667,4.233333,0.06,510,80.2,4.361,15.02,1.297717,1.3,7.5,41
0.06,14,-0.466979,-0.047391,0.0,2.041063,0.364505,0.075855,34.27384,-36.710583,-76.93061,1.260116,0.375,4.55303,0.06,528,77.08,4.0854,14.33,1.248825,1.35,8.0,34
0.06,16,-0.455287,-0.045898,0.0,1.970646,0.350652,0.07395,34.242856,-37.682183,-77.880241,1.272711,0.379433,5.251773,0.06,564,77.66,3.446,14.16,1.180342,1.25,7.25,36
0.06,18,-0.446983,-0.045022,0.0,1.945327,0.343483,0.072925,34.243541,-38.141517,-78.452129,1.272924,0.379074,5.655232,0.06,583,76.84,3.5987,14.64,1.144894,1.35,7.25,34
0.06,20,-0.440247,-0.043802,0.0,1.886701,0.333909,0.071654,34.288646,-38.669104,-78.916797,1.278931,0.383607,6.259016,0.06,610,79.18,3.9516,17.01,1.113767,1.4,7.5,44
0.06,22,-0.434579,-0.043107,0.0,1.868814,0.329442,0.071006,34.3568,-38.813757,-79.077198,1.293086,0.389423,6.602564,0.06,624,78.69,3.4789,15.19,1.112603,1.3,8.0,38
0.06,25,-0.426251,-0.042301,0.0,1.842347,0.324246,0.070087,34.324983,-39.266224,-79.447902,1.29763,0.394081,7.098131,0.06,642,78.19,3.1836,14.68,1.088522,1.25,8.0,37
0.06,28,-0.422762,-0.041768,0.0,1.840828,0.32122,0.069672,34.317146,-39.544862,-79.698092,1.304751,0.400612,7.463303,0.06,654,78.13,3.2585,14.78,1.091489,1.25,8.0,38
0.06,30,-0.419138,-0.041359,0.0,1.8282,0.318168,0.069343,34.309778,-39.769868,-80.009857,1.304962,0.4003,7.887556,0.06,667,77.96,3.0878,14.12,1.057692,1.25,6.5,36
0.06,35,-0.415087,-0.040628,0.0,1.802529,0.312752,0.068545,34.226559,-40.422412,-80.386853,1.318412,0.410145,8.707246,0.06,690,76.81,2.6917,11.66,0.995004,1.0,6.0,35
0.06,40,-0.410874,-0.039735,0.0,1.786781,0.307978,0.067848,34.198469,-40.881601,-80.742774,1.32929,0.414804,9.773743,0.06,716,79.89,3.8103,18.2,1.037307,1.4,7.75,50
0.06,45,-0.408223,-0.039184,0.0,1.776044,0.304954,0.067366,34.156211,-41.293892,-81.009988,1.359203,0.421769,10.627211,0.06,735,80.27,3.7711,17.59,1.048931,1.35,8.0,50
0.06,50,-0.406514,-0.038914,0.0,1.782399,0.30364,0.067098,34.101775,-41.558305,-81.140481,1.369956,0.423957,11.041723,0.06,743,78.2,3.0414,15.04,0.9906,1.25,6.5,42
0.07,1,-0.729156,-0.083019,0.0,3.10941,0.615357,0.115414,33.278012,-32.240513,-76.669036,1.266813,0.40367,1.0,0.07,109,77.98,8.7144,16.14,2.151853,1.25,5.25,49
0.07,2,-0.642584,-0.074288,0.0,2.848223,0.555115,0.105684,33.851227,-31.665422,-75.046374,1.304615,0.386667,1.273333,0.07,150,78.67,6.8763,16.94,1.803866,1.35,5.5,43
0.07,3,-0.598152,-0.068469,0.0,2.65541,0.514656,0.10001,33.623573,-34.149511,-76.021776,1.340748,0.395238,1.766667,0.07,210,82.86,7.588,16.73,1.780579,1.35,7.75,45
0.07,4,-0.58609,-0.06382,0.0,2.561983,0.480877,0.093993,33.284524,-35.907312,-76.258704,1.346993,0.392996,2.175097,0.07,257,82.88,7.0359,16.36,1.685934,1.35,7.5,46
0.07,5,-0.546005,-0.059351,0.0,2.431667,0.451604,0.089727,33.688974,-35.879751,-75.946659,1.314413,0.396104,2.642857,0.07,308,81.82,6.66,16.6,1.65536,1.4,8.0,45
